Year,Month,tmin_f,datetime
2022.0,5.0,68.53572319878472,2022-05-01
2022.0,6.0,69.56995171440973,2022-06-01
2022.0,7.0,71.07862141927083,2022-07-01
2022.0,8.0,70.90250922309028,2022-08-01
2022.0,9.0,71.32675509982639,2022-09-01
2022.0,10.0,70.68181966145833,2022-10-01
2022.0,11.0,69.27620171440972,2022-11-01
2022.0,12.0,65.82683376736111,2022-12-01
2023.0,1.0,63.781255425347226,2023-01-01
2023.0,2.0,65.25599500868056,2023-02-01
2023.0,3.0,65.36978081597222,2023-03-01
2023.0,4.0,66.6532741970486,2023-04-01
2023.0,5.0,66.86077202690973,2023-05-01
2023.0,6.0,68.89470214843749,2023-06-01
2023.0,7.0,70.16175130208333,2023-07-01
2023.0,8.0,71.62811414930556,2023-08-01
2023.0,9.0,71.51609700520834,2023-09-01
2023.0,10.0,67.85316297743056,2023-10-01
2023.0,11.0,68.51676432291667,2023-11-01
2023.0,12.0,66.29195421006945,2023-12-01
2024.0,1.0,65.45068088107638,2024-01-01
2024.0,2.0,63.26810709635417,2024-02-01
2024.0,3.0,65.36029459635418,2024-03-01
2024.0,4.0,66.461962890625,2024-04-01
2024.0,5.0,68.40086534288194,2024-05-01
2024.0,6.0,69.25397677951389,2024-06-01
2024.0,7.0,70.16427951388889,2024-07-01
2024.0,8.0,71.57369249131943,2024-08-01
2024.0,9.0,70.7853271484375,2024-09-01
2024.0,10.0,70.66580674913195,2024-10-01
2024.0,11.0,68.69683702256944,2024-11-01
2024.0,12.0,66.91516927083333,2024-12-01
2025.0,1.0,65.60563151041666,2025-01-01
2025.0,2.0,64.72786187065972,2025-02-01
2025.0,3.0,66.42132161458333,2025-03-01
2025.0,4.0,67.98084581163195,2025-04-01
2025.0,5.0,68.95903862847223,2025-05-01
2025.0,6.0,70.16348470052084,2025-06-01
2025.0,7.0,71.078857421875,2025-07-01
