Year,Month,tmean_f,datetime,Temp
2023.0,10.0,77.25770399305556,2023-10-01,
2023.0,11.0,76.00533040364584,2023-11-01,
2023.0,12.0,72.93706597222223,2023-12-01,
2024.0,1.0,71.93849283854166,2024-01-01,
2024.0,2.0,71.53961588541668,2024-02-01,
2024.0,3.0,72.33197157118056,2024-03-01,
2024.0,4.0,73.767333984375,2024-04-01,
2024.0,5.0,74.99921061197918,2024-05-01,
2024.0,6.0,77.55185546875,2024-06-01,
2024.0,7.0,78.54709201388889,2024-07-01,
2024.0,8.0,79.62035590277779,2024-08-01,
2024.0,9.0,79.31740993923611,2024-09-01,
2024.0,10.0,78.90745442708334,2024-10-01,
2024.0,11.0,76.09303927951389,2024-11-01,
2024.0,12.0,74.52143554687501,2024-12-01,
2025.0,1.0,72.94767252604167,2025-01-01,
2025.0,2.0,72.83190375434029,2025-02-01,
2025.0,3.0,74.68236490885417,2025-03-01,
2025.0,4.0,75.17829318576389,2025-04-01,
2025.0,5.0,76.48192274305555,2025-05-01,
2025.0,6.0,78.14007161458333,2025-06-01,
2025.0,7.0,79.05448133680557,2025-07-01,
2025.0,8.0,80.00064561631945,2025-08-01,
2025.0,9.0,79.36414930555556,2025-09-01,
2025.0,10.0,78.38236762152778,2025-10-01,
2025.0,11.0,76.02155490451389,2025-11-01,
2025.0,12.0,74.48185221354167,2025-12-01,
2026.0,1.0,72.34752604166667,2026-01-01,
2026.0,2.0,71.75023600260417,2026-02-01,
2026.0,3.0,,2026-03-01,73.45132921006945
